"TRANSACTION_ID";"TRANSACTION_TYPE";"TRANSACTION_VALUE";"TIMEID";"CUST_CC_NO";"CUST_SSN";"BRANCH_CODE"
1;"Education";79.0;"20180214";"4210653349028689";123459988;114
2;"Entertainment";14.0;"20180320";"4210653349028689";123459988;35
3;"Grocery";57.0;"20180708";"4210653349028689";123459988;160
4;"Entertainment";60.0;"20180419";"4210653349028689";123459988;114
5;"Gas";4.0;"20181010";"4210653349028689";123459988;93
6;"Education";7.0;"20180528";"4210653349028689";123459988;164
7;"Entertainment";43.0;"20180519";"4210653349028689";123459988;119
8;"Gas";95.0;"20180808";"4210653349028689";123459988;23
9;"Entertainment";93.0;"20180318";"4210653349028689";123459988;166
10;"Bills";100.0;"20180903";"4210653349028689";123459988;83
11;"Gas";99.0;"20180821";"4210653349028689";123459988;52
12;"Gas";43.0;"20181224";"4210653349028689";123459988;17
13;"Grocery";40.0;"20180403";"4210653349028689";123459988;80
14;"Bills";18.0;"20180415";"4210653349028689";123459988;50
15;"Bills";29.0;"20180517";"4210653349028689";123459988;123
16;"Test";71.0;"20180706";"4210653349028689";123459988;9
17;"Test";27.0;"20180928";"4210653349028689";123459988;3
18;"Entertainment";89.0;"20180704";"4210653349028689";123459988;135
19;"Test";77.0;"20180424";"4210653349028689";123459988;103
20;"Bills";34.0;"20181008";"4210653349028689";123459988;78
21;"Education";11.0;"20181023";"4210653349028689";123459988;156
22;"Education";7.0;"20180813";"4210653349028689";123459988;20
23;"Bills";8.0;"20180317";"4210653349028689";123459988;44
24;"Test";33.0;"20180511";"4210653349028689";123459988;54
25;"Entertainment";35.0;"20180303";"4210653349028689";123459988;119
26;"Test";86.0;"20180511";"4210653349028689";123459988;121
27;"Test";82.0;"20181214";"4210653349028689";123459988;19
28;"Healthcare";99.0;"20180806";"4210653349028689";123459988;43
29;"Grocery";9.0;"20181014";"4210653349028689";123459988;7
30;"Gas";17.0;"20181204";"4210653349028689";123459988;29
31;"Grocery";54.0;"20181024";"4210653349028689";123459988;123
32;"Education";13.0;"20181212";"4210653349028689";123459988;66
33;"Healthcare";24.0;"20181020";"4210653349028689";123459988;117
34;"Entertainment";53.0;"20181109";"4210653349028689";123459988;72
35;"Test";97.0;"20180909";"4210653349028689";123459988;95
36;"Education";63.0;"20180928";"4210653349028689";123459988;32
37;"Education";74.0;"20180412";"4210653349028689";123459988;104
38;"Education";63.0;"20180906";"4210653349028689";123459988;158
39;"Entertainment";47.0;"20181005";"4210653349028689";123459988;70
40;"Entertainment";96.0;"20180116";"4210653349028689";123459988;69
41;"Education";25.0;"20180307";"4210653349028689";123459988;26
42;"Bills";31.0;"20181120";"4210653349028689";123459988;27
43;"Gas";83.0;"20180604";"4210653349028689";123459988;79
44;"Healthcare";80.0;"20181113";"4210653349028689";123459988;36
45;"Healthcare";21.0;"20180908";"4210653349028689";123459988;124
46;"Bills";5.0;"20180121";"4210653349028689";123459988;104
47;"Grocery";42.0;"20180428";"4210653349028689";123459988;50
48;"Education";4.0;"20180512";"4210653349028689";123459988;20
49;"Healthcare";26.0;"20180826";"4210653349028689";123459988;69
50;"Entertainment";53.0;"20180102";"4210653349028689";123459988;76
51;"Gas";73.0;"20180304";"4210653349028689";123459988;93
52;"Entertainment";16.0;"20181209";"4210653349028689";123459988;80
53;"Grocery";17.0;"20180414";"4210653349028689";123459988;43
54;"Healthcare";32.0;"20180203";"4210653349028689";123459988;59
